,Titulo,Resumen,Autores,Palabra Clave,Fechas
20,"20020116: Rock (2), panel (14)","Rock Art photograph, Rock 2 (14) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']60[/cam][cam element='coordinate' qualifier='inclination']75[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:16Z - 2004-05-10T12:48:16Z - 2002-12-19 15:25:00 - 2004-05-10T12:48:16Z
21,"20020118: Rock (2), panel (14)","Rock Art photograph, unknown - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']60[/cam][cam element='coordinate' qualifier='inclination']75[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:19Z - 2004-05-10T12:48:19Z - 2002-12-19 15:30:00 - 2004-05-10T12:48:19Z
22,"20020120: Rock (2), panel (4)","Rock Art photograph, Panel 4, glyph - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']0[/cam][cam element='coordinate' qualifier='inclination']90[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:23Z - 2004-05-10T12:48:23Z - 2002-12-19 15:40:00 - 2004-05-10T12:48:23Z
23,"20020122: Rock (2), panel (4)","Rock Art photograph, Rock 2, Panel 4 - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']0[/cam][cam element='coordinate' qualifier='inclination']90[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:27Z - 2004-05-10T12:48:27Z - 2002-12-19 15:45:00 - 2004-05-10T12:48:27Z
24,"20020124: Rock (2), panel (4)","Rock Art photograph, Rock 2, Panel 4 - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']0[/cam][cam element='coordinate' qualifier='inclination']90[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:31Z - 2004-05-10T12:48:31Z - 2002-12-19 15:45:00 - 2004-05-10T12:48:31Z
25,"20020126: Rock (unknown), panel (unknown)","Rock Art photograph, Views from (28) - [cam element='coordinate' qualifier='longitude']unknown[/cam][cam element='coordinate' qualifier='latitude']unknown[/cam][cam element='coordinate' qualifier='altitude']unknown[/cam][cam element='coordinate' qualifier='bearing']unknown[/cam][cam element='coordinate' qualifier='inclination']unknown[/cam][cam element='coordinate' qualifier='cartesian'](unknown,unknown,unknown)[/cam]",None,,2004-05-10T12:48:36Z - 2004-05-10T12:48:36Z - 2002-12-19 15:45:00 - 2004-05-10T12:48:36Z
26,"20020128: Rock (unknown), panel (unknown)","Rock Art photograph, Views from (28) - [cam element='coordinate' qualifier='longitude']unknown[/cam][cam element='coordinate' qualifier='latitude']unknown[/cam][cam element='coordinate' qualifier='altitude']unknown[/cam][cam element='coordinate' qualifier='bearing']unknown[/cam][cam element='coordinate' qualifier='inclination']unknown[/cam][cam element='coordinate' qualifier='cartesian'](unknown,unknown,unknown)[/cam]",None,,2004-05-10T12:48:39Z - 2004-05-10T12:48:39Z - 2002-12-19 15:45:00 - 2004-05-10T12:48:39Z
27,"20020202: Rock (1), panel (5)","Rock Art photograph, Panel 5 - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:42Z - 2004-05-10T12:48:42Z - 2002-12-19 15:45:00 - 2004-05-10T12:48:42Z
28,"20020204: Rock (1), panel (5)","Rock Art photograph, (15) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:46Z - 2004-05-10T12:48:46Z - 2002-12-19 15:45:00 - 2004-05-10T12:48:46Z
29,"20020208: Rock (1), panel (5)","Rock Art photograph, Panel 5, (15) - [cam element='coordinate' qualifier='longitude']W 70deg34'55.9""[/cam][cam element='coordinate' qualifier='latitude']S 32deg49'49.0""[/cam][cam element='coordinate' qualifier='altitude']924[/cam][cam element='coordinate' qualifier='bearing']20[/cam][cam element='coordinate' qualifier='inclination']70[/cam][cam element='coordinate' qualifier='cartesian'](1.950,1.640,2.190)[/cam]",None,,2004-05-10T12:48:51Z - 2004-05-10T12:48:51Z - 2002-12-19 16:15:00 - 2004-05-10T12:48:51Z
